Date,Open,Close,Volume
2018-01-02,1172.0,1189.010009765625,2694500
2018-01-03,1188.300048828125,1204.199951171875,3108800
2018-01-04,1205.0,1209.5899658203125,3022100
2018-01-05,1217.510009765625,1229.1400146484375,3544700
2018-01-08,1236.0,1246.8699951171875,4279500
2018-01-09,1256.9000244140625,1252.699951171875,3661300
2018-01-10,1245.1500244140625,1254.3299560546875,2686000
2018-01-11,1259.739990234375,1276.6800537109375,3125000
2018-01-12,1273.3900146484375,1305.199951171875,5443700
2018-01-16,1323.0,1304.8599853515625,7220700
2018-01-17,1312.239990234375,1295.0,5253800
2018-01-18,1293.949951171875,1293.3199462890625,4026900
2018-01-19,1312.0,1294.5799560546875,4578500
2018-01-22,1297.1700439453125,1327.31005859375,4140100
2018-01-23,1338.0899658203125,1362.5400390625,5169300
2018-01-24,1374.8199462890625,1357.510009765625,6807500
2018-01-25,1368.0,1377.949951171875,4753000
2018-01-26,1392.010009765625,1402.050048828125,4857300
2018-01-29,1409.1800537109375,1417.6800537109375,5701900
2018-01-30,1403.1700439453125,1437.8199462890625,5871900
2018-01-31,1451.300048828125,1450.8900146484375,6424700
2018-02-01,1445.0,1390.0,9113800
2018-02-02,1477.3900146484375,1429.949951171875,11125700
2018-02-05,1402.6199951171875,1390.0,11495000
2018-02-06,1361.4599609375,1442.8399658203125,11066800
2018-02-07,1449.0,1416.780029296875,7162700
2018-02-08,1429.6800537109375,1350.5,8578600
2018-02-09,1373.489990234375,1339.5999755859375,14141500
2018-02-12,1364.6700439453125,1386.22998046875,6738900
2018-02-13,1385.9300537109375,1414.510009765625,5917900
2018-02-14,1406.25,1451.050048828125,5959200
2018-02-15,1466.8900146484375,1461.760009765625,5652700
2018-02-16,1457.3699951171875,1448.68994140625,4472600
2018-02-20,1446.489990234375,1468.3499755859375,6499200
2018-02-21,1485.0,1482.9200439453125,6304400
2018-02-22,1495.3599853515625,1485.3399658203125,4858100
2018-02-23,1495.3399658203125,1500.0,4418100
2018-02-26,1509.199951171875,1521.949951171875,4955000
2018-02-27,1524.5,1511.97998046875,4808800
2018-02-28,1519.510009765625,1512.449951171875,4515000
2018-03-01,1513.5999755859375,1493.449951171875,6835200
2018-03-02,1469.0999755859375,1500.25,6587600
2018-03-05,1494.239990234375,1523.6099853515625,5233900
2018-03-06,1533.199951171875,1537.6400146484375,4561700
2018-03-07,1526.52001953125,1545.0,4174100
2018-03-08,1550.0,1551.8599853515625,3862600
2018-03-09,1563.5,1578.8900146484375,4534300
2018-03-12,1592.5999755859375,1598.3900146484375,5174200
2018-03-13,1615.9599609375,1588.1800537109375,6531900
2018-03-14,1597.0,1591.0,4259400
2018-03-15,1595.0,1582.3199462890625,4069700
2018-03-16,1583.449951171875,1571.6800537109375,5425000
2018-03-19,1554.530029296875,1544.9300537109375,6580800
2018-03-20,1550.3399658203125,1586.510009765625,4581600
2018-03-21,1586.449951171875,1581.8599853515625,4750800
2018-03-22,1565.469970703125,1544.9200439453125,6320600
2018-03-23,1539.010009765625,1495.56005859375,8006000
2018-03-26,1530.0,1555.8599853515625,5624700
2018-03-27,1572.4000244140625,1497.050048828125,6999600
2018-03-28,1447.0,1431.4200439453125,13705300
2018-03-29,1406.0,1447.3399658203125,12581100
2018-04-02,1417.6199951171875,1371.989990234375,10463600
2018-04-03,1391.3800048828125,1392.050048828125,10231200
2018-04-04,1358.239990234375,1410.5699462890625,6982300
2018-04-05,1441.989990234375,1451.75,6413500
2018-04-06,1429.969970703125,1405.22998046875,5882300
2018-04-09,1425.030029296875,1406.0799560546875,4208200
2018-04-10,1431.989990234375,1436.219970703125,4254100
2018-04-11,1439.43994140625,1427.050048828125,3582500
2018-04-12,1439.5,1448.5,3135000
2018-04-13,1449.1400146484375,1430.7900390625,3685300
2018-04-16,1445.0,1441.5,2808600
2018-04-17,1462.300048828125,1503.8299560546875,5114400
2018-04-18,1514.6500244140625,1527.8399658203125,5227500
2018-04-19,1543.219970703125,1556.9100341796875,6523700
2018-04-20,1561.199951171875,1527.489990234375,5541600
2018-04-23,1546.68994140625,1517.8599853515625,4465400
2018-04-24,1535.800048828125,1460.0899658203125,7494700
2018-04-25,1458.0,1460.1700439453125,6587300
2018-04-26,1485.010009765625,1517.9599609375,8801100
2018-04-27,1634.010009765625,1572.6199951171875,13053200
2018-04-30,1582.5,1566.1300048828125,5464100
2018-05-01,1563.219970703125,1582.260009765625,4572100
2018-05-02,1580.97998046875,1569.6800537109375,4360300
2018-05-03,1560.010009765625,1572.0799560546875,4251900
2018-05-04,1562.449951171875,1580.949951171875,3443600
2018-05-07,1589.3399658203125,1600.1400146484375,3801900
2018-05-08,1595.0,1592.3900146484375,3067900
2018-05-09,1600.0,1608.0,3637300
2018-05-10,1608.47998046875,1609.0799560546875,2817500
2018-05-11,1610.989990234375,1602.9100341796875,2263900
2018-05-14,1604.0,1601.5400390625,2509500
2018-05-15,1587.800048828125,1576.1199951171875,5077500
2018-05-16,1577.5,1587.280029296875,2570600
2018-05-17,1580.56005859375,1581.760009765625,2147600
2018-05-18,1581.3299560546875,1574.3699951171875,2642600
2018-05-21,1585.0,1585.4599609375,2925200
2018-05-22,1589.8900146484375,1581.4000244140625,2115600
2018-05-23,1571.050048828125,1601.8599853515625,3361900
2018-05-24,1598.030029296875,1603.0699462890625,3430000
2018-05-25,1603.0,1610.1500244140625,2698400
2018-05-29,1600.7099609375,1612.8699951171875,3846500
2018-05-30,1618.0999755859375,1624.8900146484375,2907400
2018-05-31,1623.0,1629.6199951171875,3166300
2018-06-01,1637.030029296875,1641.5400390625,3313400
2018-06-04,1648.9000244140625,1665.27001953125,3187700
2018-06-05,1672.989990234375,1696.3499755859375,4782200
2018-06-06,1704.510009765625,1695.75,5473200
2018-06-07,1698.56005859375,1689.300048828125,3765700
2018-06-08,1681.1199951171875,1683.989990234375,2955100
2018-06-11,1681.510009765625,1689.1199951171875,2335500
2018-06-12,1693.0,1698.75,2259200
2018-06-13,1702.81005859375,1704.8599853515625,3327500
2018-06-14,1713.47998046875,1723.8599853515625,3174400
2018-06-15,1714.0,1715.969970703125,4777600
2018-06-18,1706.260009765625,1723.7900390625,3107700
